,COMPILED BY @PATRICKJFL,,,,,,,,,,,,,,,,,,,
258,Andrew Murrison,,Conservative,South West Wiltshire,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,Raab,2001,Yes,Leave,,Auth Right,,,39%,57%,Mid Leave,
279,Dominic Raab,,Conservative,Esher and Walton,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,Raab,2010,Yes,Leave,,Lib Left,,Yes,4%,42%,Remain,
284,Angela Richardson,,Conservative,Guildford,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,-,2019,No,Leave,,Lib Right,,Yes,6%,41%,Remain,
316,Gary Streeter,,Conservative,South West Devon,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,McVey,1992,No,Remain,,Auth Left,,,40%,55%,Soft Leave,
332,Laura Trott,,Conservative,Sevenoaks,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,-,2019,No,?,,Lib Right,,Yes,41%,54%,Soft Leave,
352,Craig Williams,,Conservative,Montgomeryshire,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,-,2019,No,Remain,,Auth Right,,Yes,35%,56%,Soft Leave,
133,Jo Gideon,,Conservative,Stoke-on-Trent Central,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Tugendhat,-,2019,No,?,,Lib Left,Yes,,2%,65%,Heavy Leave,
313,John Stevenson,,Conservative,Carlisle,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Tugendhat,Gove,2010,No,Remain,,Auth Left,,,19%,61%,Mid Leave,
325,Maggie Throup,,Conservative,Erewash,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Zahawi,Hancock,2015,Yes,Remain,,Auth Right,,,22%,63%,Heavy Leave,
112,Laura Farris,,Conservative,Newbury,Sunak,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,Sunak,Sunak,-,2019,No,Remain,,Auth Right,,Yes,27%,48%,Remain,
237,Huw Merriman,,Conservative,Bexhill and Battle,Sunak,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,Sunak,Sunak,Hunt,2015,No,Remain,,Lib Left,,,44%,58%,Mid Leave,
326,Edward Timpson,,Conservative,Eddisbury,Sunak,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,Sunak,Sunak,-,2019,No,Remain,,Lib Right,,,35%,52%,Soft Leave,
